labor_id,warehouse_id,date,shift,headcount_scheduled,headcount_actual,regular_hours,overtime_hours,hourly_rate,labor_cost
LBR-800035,WH-DWC-01,2025-10-03,Evening,7,8,64.0,2.0,14.5,971.5
LBR-800036,WH-DWC-01,2025-10-03,Night,7,8,64.0,1.5,14.5,960.62
LBR-800037,WH-DXB-01,2025-10-04,Morning,10,10,80.0,1.5,14.5,1192.62
LBR-800038,WH-DXB-01,2025-10-04,Evening,10,11,88.0,0.0,14.5,1276.0
LBR-800039,WH-DXB-01,2025-10-04,Night,10,10,80.0,0.0,14.5,1160.0
LBR-800040,WH-AUH-01,2025-10-04,Morning,4,4,32.0,0.0,14.5,464.0
LBR-800041,WH-AUH-01,2025-10-04,Evening,4,4,32.0,1.5,14.5,496.62
LBR-800042,WH-AUH-01,2025-10-04,Night,4,4,32.0,1.5,14.5,496.62
LBR-800043,WH-SHJ-01,2025-10-04,Morning,3,3,24.0,0.0,14.5,348.0
LBR-800044,WH-SHJ-01,2025-10-04,Evening,3,4,32.0,0.0,14.5,464.0
LBR-800045,WH-SHJ-01,2025-10-04,Night,3,3,24.0,0.0,14.5,348.0
LBR-800046,WH-DWC-01,2025-10-04,Morning,7,8,64.0,0.0,14.5,928.0
LBR-800047,WH-DWC-01,2025-10-04,Evening,7,8,64.0,2.0,14.5,971.5
LBR-800048,WH-DWC-01,2025-10-04,Night,7,7,56.0,1.5,14.5,844.62
LBR-800049,WH-DXB-01,2025-10-05,Morning,18,17,136.0,2.0,14.5,2015.5
LBR-800050,WH-DXB-01,2025-10-05,Evening,18,18,144.0,1.5,14.5,2120.62
LBR-800051,WH-DXB-01,2025-10-05,Night,18,17,136.0,1.5,14.5,2004.62
LBR-800052,WH-AUH-01,2025-10-05,Morning,8,9,72.0,0.0,14.5,1044.0
LBR-800053,WH-AUH-01,2025-10-05,Evening,8,9,72.0,2.0,14.5,1087.5
LBR-800054,WH-AUH-01,2025-10-05,Night,8,9,72.0,2.0,14.5,1087.5
LBR-800055,WH-SHJ-01,2025-10-05,Morning,6,6,48.0,0.0,14.5,696.0
LBR-800056,WH-SHJ-01,2025-10-05,Evening,6,7,56.0,0.0,14.5,812.0
LBR-800057,WH-SHJ-01,2025-10-05,Night,6,6,48.0,2.0,14.5,739.5
LBR-800058,WH-DWC-01,2025-10-05,Morning,12,12,96.0,1.5,14.5,1424.62
LBR-800059,WH-DWC-01,2025-10-05,Evening,12,13,104.0,0.0,14.5,1508.0
LBR-800060,WH-DWC-01,2025-10-05,Night,12,11,88.0,1.5,14.5,1308.62
LBR-800061,WH-DXB-01,2025-10-06,Morning,18,19,152.0,0.0,14.5,2204.0
LBR-800062,WH-DXB-01,2025-10-06,Evening,18,18,144.0,0.0,14.5,2088.0
LBR-800063,WH-DXB-01,2025-10-06,Night,18,18,144.0,0.0,14.5,2088.0
LBR-800064,WH-AUH-01,2025-10-06,Morning,8,9,72.0,2.0,14.5,1087.5
LBR-800065,WH-AUH-01,2025-10-06,Evening,8,8,64.0,0.0,14.5,928.0
LBR-800066,WH-AUH-01,2025-10-06,Night,8,8,64.0,0.0,14.5,928.0
LBR-800067,WH-SHJ-01,2025-10-06,Morning,6,5,40.0,0.0,14.5,580.0
LBR-800068,WH-SHJ-01,2025-10-06,Evening,6,6,48.0,0.0,14.5,696.0
LBR-800069,WH-SHJ-01,2025-10-06,Night,6,7,56.0,1.5,14.5,844.62
LBR-800070,WH-DWC-01,2025-10-06,Morning,12,12,96.0,1.5,14.5,1424.62
LBR-800071,WH-DWC-01,2025-10-06,Evening,12,12,96.0,2.0,14.5,1435.5
LBR-800072,WH-DWC-01,2025-10-06,Night,12,11,88.0,1.5,14.5,1308.62
LBR-800073,WH-DXB-01,2025-10-07,Morning,18,19,152.0,2.0,14.5,2247.5
LBR-800074,WH-DXB-01,2025-10-07,Evening,18,18,144.0,1.5,14.5,2120.62
LBR-800075,WH-DXB-01,2025-10-07,Night,18,19,152.0,0.0,14.5,2204.0
LBR-800076,WH-AUH-01,2025-10-07,Morning,8,8,64.0,0.0,14.5,928.0
LBR-800077,WH-AUH-01,2025-10-07,Evening,8,7,56.0,1.5,14.5,844.62
LBR-800078,WH-AUH-01,2025-10-07,Night,8,9,72.0,2.0,14.5,1087.5
LBR-800079,WH-SHJ-01,2025-10-07,Morning,6,6,48.0,0.0,14.5,696.0
LBR-800080,WH-SHJ-01,2025-10-07,Evening,6,6,48.0,0.0,14.5,696.0
LBR-800081,WH-SHJ-01,2025-10-07,Night,6,6,48.0,0.0,14.5,696.0
LBR-800082,WH-DWC-01,2025-10-07,Morning,12,12,96.0,1.5,14.5,1424.62
LBR-800083,WH-DWC-01,2025-10-07,Evening,12,12,96.0,1.5,14.5,1424.62
LBR-800084,WH-DWC-01,2025-10-07,Night,12,13,104.0,1.5,14.5,1540.62
LBR-800085,WH-DXB-01,2025-10-08,Morning,18,19,152.0,0.0,14.5,2204.0
LBR-800086,WH-DXB-01,2025-10-08,Evening,18,19,152.0,0.0,14.5,2204.0
LBR-800087,WH-DXB-01,2025-10-08,Night,18,18,144.0,1.5,14.5,2120.62
LBR-800088,WH-AUH-01,2025-10-08,Morning,8,7,56.0,0.0,14.5,812.0
LBR-800089,WH-AUH-01,2025-10-08,Evening,8,7,56.0,1.5,14.5,844.62
LBR-800090,WH-AUH-01,2025-10-08,Night,8,8,64.0,0.0,14.5,928.0
LBR-800091,WH-SHJ-01,2025-10-08,Morning,6,7,56.0,1.5,14.5,844.62
LBR-800092,WH-SHJ-01,2025-10-08,Evening,6,5,40.0,1.5,14.5,612.62
LBR-800093,WH-SHJ-01,2025-10-08,Night,6,7,56.0,0.0,14.5,812.0
LBR-800094,WH-DWC-01,2025-10-08,Morning,12,12,96.0,0.0,14.5,1392.0
LBR-800095,WH-DWC-01,2025-10-08,Evening,12,12,96.0,0.0,14.5,1392.0
LBR-800096,WH-DWC-01,2025-10-08,Night,12,12,96.0,0.0,14.5,1392.0
LBR-800097,WH-DXB-01,2025-10-09,Morning,18,19,152.0,0.0,14.5,2204.0
LBR-800098,WH-DXB-01,2025-10-09,Evening,18,19,152.0,2.0,14.5,2247.5
LBR-800099,WH-DXB-01,2025-10-09,Night,18,18,144.0,2.0,14.5,2131.5
LBR-800100,WH-AUH-01,2025-10-09,Morning,8,9,72.0,2.0,14.5,1087.5
LBR-800101,WH-AUH-01,2025-10-09,Evening,8,8,64.0,0.0,14.5,928.0
LBR-800102,WH-AUH-01,2025-10-09,Night,8,8,64.0,2.0,14.5,971.5
LBR-800103,WH-SHJ-01,2025-10-09,Morning,6,6,48.0,1.5,14.5,728.62
LBR-800104,WH-SHJ-01,2025-10-09,Evening,6,7,56.0,0.0,14.5,812.0
LBR-800105,WH-SHJ-01,2025-10-09,Night,6,5,40.0,0.0,14.5,580.0
LBR-800106,WH-DWC-01,2025-10-09,Morning,12,12,96.0,2.0,14.5,1435.5
LBR-800107,WH-DWC-01,2025-10-09,Evening,12,13,104.0,2.0,14.5,1551.5
LBR-800108,WH-DWC-01,2025-10-09,Night,12,11,88.0,0.0,14.5,1276.0
LBR-800109,WH-DXB-01,2025-10-10,Morning,10,10,80.0,2.0,14.5,1203.5
LBR-800110,WH-DXB-01,2025-10-10,Evening,10,9,72.0,2.0,14.5,1087.5
LBR-800111,WH-DXB-01,2025-10-10,Night,10,11,88.0,2.0,14.5,1319.5
LBR-800112,WH-AUH-01,2025-10-10,Morning,4,4,32.0,0.0,14.5,464.0
LBR-800113,WH-AUH-01,2025-10-10,Evening,4,4,32.0,2.0,14.5,507.5
LBR-800114,WH-AUH-01,2025-10-10,Night,4,5,40.0,0.0,14.5,580.0
LBR-800115,WH-SHJ-01,2025-10-10,Morning,3,4,32.0,0.0,14.5,464.0
LBR-800116,WH-SHJ-01,2025-10-10,Evening,3,4,32.0,2.0,14.5,507.5
LBR-800117,WH-SHJ-01,2025-10-10,Night,3,3,24.0,0.0,14.5,348.0
LBR-800118,WH-DWC-01,2025-10-10,Morning,7,7,56.0,0.0,14.5,812.0
LBR-800119,WH-DWC-01,2025-10-10,Evening,7,8,64.0,0.0,14.5,928.0
LBR-800120,WH-DWC-01,2025-10-10,Night,7,7,56.0,1.5,14.5,844.62
LBR-800121,WH-DXB-01,2025-10-11,Morning,10,11,88.0,1.5,14.5,1308.62
LBR-800122,WH-DXB-01,2025-10-11,Evening,10,9,72.0,2.0,14.5,1087.5
LBR-800123,WH-DXB-01,2025-10-11,Night,10,10,80.0,0.0,14.5,1160.0
LBR-800124,WH-AUH-01,2025-10-11,Morning,4,4,32.0,2.0,14.5,507.5
LBR-800125,WH-AUH-01,2025-10-11,Evening,4,4,32.0,2.0,14.5,507.5
LBR-800126,WH-AUH-01,2025-10-11,Night,4,4,32.0,0.0,14.5,464.0
LBR-800127,WH-SHJ-01,2025-10-11,Morning,3,2,16.0,2.0,14.5,275.5
LBR-800128,WH-SHJ-01,2025-10-11,Evening,3,3,24.0,0.0,14.5,348.0
LBR-800129,WH-SHJ-01,2025-10-11,Night,3,2,16.0,2.0,14.5,275.5
LBR-800130,WH-DWC-01,2025-10-11,Morning,7,8,64.0,1.5,14.5,960.62
LBR-800131,WH-DWC-01,2025-10-11,Evening,7,7,56.0,0.0,14.5,812.0
LBR-800132,WH-DWC-01,2025-10-11,Night,7,7,56.0,2.0,14.5,855.5
LBR-800133,WH-DXB-01,2025-10-12,Morning,18,18,144.0,2.0,14.5,2131.5
LBR-800134,WH-DXB-01,2025-10-12,Evening,18,19,152.0,0.0,14.5,2204.0
LBR-800135,WH-DXB-01,2025-10-12,Night,18,17,136.0,0.0,14.5,1972.0
LBR-800136,WH-AUH-01,2025-10-12,Morning,8,9,72.0,2.0,14.5,1087.5
LBR-800137,WH-AUH-01,2025-10-12,Evening,8,7,56.0,2.0,14.5,855.5
LBR-800138,WH-AUH-01,2025-10-12,Night,8,7,56.0,1.5,14.5,844.62
LBR-800139,WH-SHJ-01,2025-10-12,Morning,6,7,56.0,1.5,14.5,844.62
LBR-800140,WH-SHJ-01,2025-10-12,Evening,6,6,48.0,0.0,14.5,696.0
LBR-800141,WH-SHJ-01,2025-10-12,Night,6,7,56.0,0.0,14.5,812.0
LBR-800142,WH-DWC-01,2025-10-12,Morning,12,11,88.0,0.0,14.5,1276.0
LBR-800143,WH-DWC-01,2025-10-12,Evening,12,12,96.0,0.0,14.5,1392.0
LBR-800144,WH-DWC-01,2025-10-12,Night,12,11,88.0,2.0,14.5,1319.5
LBR-800145,WH-DXB-01,2025-10-13,Morning,18,17,136.0,0.0,14.5,1972.0
LBR-800146,WH-DXB-01,2025-10-13,Evening,18,18,144.0,1.5,14.5,2120.62
LBR-800147,WH-DXB-01,2025-10-13,Night,18,18,144.0,0.0,14.5,2088.0
LBR-800148,WH-AUH-01,2025-10-13,Morning,8,9,72.0,2.0,14.5,1087.5
LBR-800149,WH-AUH-01,2025-10-13,Evening,8,8,64.0,0.0,14.5,928.0
LBR-800150,WH-AUH-01,2025-10-13,Night,8,9,72.0,0.0,14.5,1044.0
LBR-800151,WH-SHJ-01,2025-10-13,Morning,6,6,48.0,0.0,14.5,696.0
LBR-800152,WH-SHJ-01,2025-10-13,Evening,6,6,48.0,0.0,14.5,696.0
LBR-800153,WH-SHJ-01,2025-10-13,Night,6,6,48.0,1.5,14.5,728.62
LBR-800154,WH-DWC-01,2025-10-13,Morning,12,11,88.0,0.0,14.5,1276.0
LBR-800155,WH-DWC-01,2025-10-13,Evening,12,11,88.0,2.0,14.5,1319.5
LBR-800156,WH-DWC-01,2025-10-13,Night,12,11,88.0,0.0,14.5,1276.0
LBR-800157,WH-DXB-01,2025-10-14,Morning,18,18,144.0,0.0,14.5,2088.0
LBR-800158,WH-DXB-01,2025-10-14,Evening,18,19,152.0,1.5,14.5,2236.62
LBR-800159,WH-DXB-01,2025-10-14,Night,18,19,152.0,0.0,14.5,2204.0
LBR-800160,WH-AUH-01,2025-10-14,Morning,8,8,64.0,0.0,14.5,928.0
LBR-800161,WH-AUH-01,2025-10-14,Evening,8,7,56.0,2.0,14.5,855.5
LBR-800162,WH-AUH-01,2025-10-14,Night,8,8,64.0,2.0,14.5,971.5
LBR-800163,WH-SHJ-01,2025-10-14,Morning,6,5,40.0,0.0,14.5,580.0
LBR-800164,WH-SHJ-01,2025-10-14,Evening,6,7,56.0,2.0,14.5,855.5
LBR-800165,WH-SHJ-01,2025-10-14,Night,6,7,56.0,1.5,14.5,844.62
LBR-800166,WH-DWC-01,2025-10-14,Morning,12,12,96.0,0.0,14.5,1392.0
LBR-800167,WH-DWC-01,2025-10-14,Evening,12,12,96.0,0.0,14.5,1392.0
LBR-800168,WH-DWC-01,2025-10-14,Night,12,12,96.0,2.0,14.5,1435.5
LBR-800169,WH-DXB-01,2025-10-15,Morning,18,17,136.0,0.0,14.5,1972.0
LBR-800170,WH-DXB-01,2025-10-15,Evening,18,17,136.0,1.5,14.5,2004.62
LBR-800171,WH-DXB-01,2025-10-15,Night,18,18,144.0,2.0,14.5,2131.5
LBR-800172,WH-AUH-01,2025-10-15,Morning,8,8,64.0,1.5,14.5,960.62
LBR-800173,WH-AUH-01,2025-10-15,Evening,8,8,64.0,1.5,14.5,960.62
LBR-800174,WH-AUH-01,2025-10-15,Night,8,8,64.0,2.0,14.5,971.5
LBR-800175,WH-SHJ-01,2025-10-15,Morning,6,5,40.0,1.5,14.5,612.62
LBR-800176,WH-SHJ-01,2025-10-15,Evening,6,5,40.0,2.0,14.5,623.5
LBR-800177,WH-SHJ-01,2025-10-15,Night,6,6,48.0,0.0,14.5,696.0
LBR-800178,WH-DWC-01,2025-10-15,Morning,12,12,96.0,0.0,14.5,1392.0
LBR-800179,WH-DWC-01,2025-10-15,Evening,12,12,96.0,1.5,14.5,1424.62
LBR-800180,WH-DWC-01,2025-10-15,Night,12,13,104.0,2.0,14.5,1551.5
LBR-800181,WH-DXB-01,2025-10-16,Morning,18,19,152.0,0.0,14.5,2204.0
LBR-800182,WH-DXB-01,2025-10-16,Evening,18,18,144.0,0.0,14.5,2088.0
LBR-800183,WH-DXB-01,2025-10-16,Night,18,17,136.0,0.0,14.5,1972.0
LBR-800184,WH-AUH-01,2025-10-16,Morning,8,9,72.0,0.0,14.5,1044.0
LBR-800185,WH-AUH-01,2025-10-16,Evening,8,8,64.0,0.0,14.5,928.0
LBR-800186,WH-AUH-01,2025-10-16,Night,8,7,56.0,0.0,14.5,812.0
LBR-800187,WH-SHJ-01,2025-10-16,Morning,6,6,48.0,1.5,14.5,728.62
LBR-800188,WH-SHJ-01,2025-10-16,Evening,6,6,48.0,0.0,14.5,696.0
LBR-800189,WH-SHJ-01,2025-10-16,Night,6,7,56.0,0.0,14.5,812.0
LBR-800190,WH-DWC-01,2025-10-16,Morning,12,12,96.0,0.0,14.5,1392.0
LBR-800191,WH-DWC-01,2025-10-16,Evening,12,12,96.0,2.0,14.5,1435.5
LBR-800192,WH-DWC-01,2025-10-16,Night,12,11,88.0,0.0,14.5,1276.0
LBR-800193,WH-DXB-01,2025-10-17,Morning,10,10,80.0,0.0,14.5,1160.0
LBR-800194,WH-DXB-01,2025-10-17,Evening,10,10,80.0,0.0,14.5,1160.0
LBR-800195,WH-DXB-01,2025-10-17,Night,10,10,80.0,1.5,14.5,1192.62
LBR-800196,WH-AUH-01,2025-10-17,Morning,4,5,40.0,2.0,14.5,623.5
LBR-800197,WH-AUH-01,2025-10-17,Evening,4,5,40.0,1.5,14.5,612.62
LBR-800198,WH-AUH-01,2025-10-17,Night,4,5,40.0,1.5,14.5,612.62
LBR-800199,WH-SHJ-01,2025-10-17,Morning,3,3,24.0,2.0,14.5,391.5
LBR-800200,WH-SHJ-01,2025-10-17,Evening,3,3,24.0,0.0,14.5,348.0
LBR-800201,WH-SHJ-01,2025-10-17,Night,3,3,24.0,1.5,14.5,380.62
LBR-800202,WH-DWC-01,2025-10-17,Morning,7,6,48.0,2.0,14.5,739.5
LBR-800203,WH-DWC-01,2025-10-17,Evening,7,7,56.0,0.0,14.5,812.0
LBR-800204,WH-DWC-01,2025-10-17,Night,7,6,48.0,2.0,14.5,739.5
LBR-800205,WH-DXB-01,2025-10-18,Morning,10,10,80.0,0.0,14.5,1160.0
LBR-800206,WH-DXB-01,2025-10-18,Evening,10,9,72.0,0.0,14.5,1044.0
LBR-800207,WH-DXB-01,2025-10-18,Night,10,10,80.0,2.0,14.5,1203.5
LBR-800208,WH-AUH-01,2025-10-18,Morning,4,3,24.0,0.0,14.5,348.0
LBR-800209,WH-AUH-01,2025-10-18,Evening,4,5,40.0,2.0,14.5,623.5
LBR-800210,WH-AUH-01,2025-10-18,Night,4,5,40.0,0.0,14.5,580.0
LBR-800211,WH-SHJ-01,2025-10-18,Morning,3,3,24.0,2.0,14.5,391.5
LBR-800212,WH-SHJ-01,2025-10-18,Evening,3,3,24.0,1.5,14.5,380.62
LBR-800213,WH-SHJ-01,2025-10-18,Night,3,4,32.0,1.5,14.5,496.62
LBR-800214,WH-DWC-01,2025-10-18,Morning,7,8,64.0,2.0,14.5,971.5
LBR-800215,WH-DWC-01,2025-10-18,Evening,7,6,48.0,1.5,14.5,728.62
LBR-800216,WH-DWC-01,2025-10-18,Night,7,8,64.0,2.0,14.5,971.5
LBR-800217,WH-DXB-01,2025-10-19,Morning,18,18,144.0,0.0,14.5,2088.0
LBR-800218,WH-DXB-01,2025-10-19,Evening,18,18,144.0,1.5,14.5,2120.62
LBR-800219,WH-DXB-01,2025-10-19,Night,18,19,152.0,0.0,14.5,2204.0
LBR-800220,WH-AUH-01,2025-10-19,Morning,8,8,64.0,2.0,14.5,971.5
LBR-800221,WH-AUH-01,2025-10-19,Evening,8,8,64.0,0.0,14.5,928.0
LBR-800222,WH-AUH-01,2025-10-19,Night,8,9,72.0,1.5,14.5,1076.62
LBR-800223,WH-SHJ-01,2025-10-19,Morning,6,5,40.0,1.5,14.5,612.62
LBR-800224,WH-SHJ-01,2025-10-19,Evening,6,6,48.0,2.0,14.5,739.5
LBR-800225,WH-SHJ-01,2025-10-19,Night,6,5,40.0,2.0,14.5,623.5
LBR-800226,WH-DWC-01,2025-10-19,Morning,12,12,96.0,1.5,14.5,1424.62
LBR-800227,WH-DWC-01,2025-10-19,Evening,12,13,104.0,2.0,14.5,1551.5
LBR-800228,WH-DWC-01,2025-10-19,Night,12,12,96.0,2.0,14.5,1435.5
LBR-800229,WH-DXB-01,2025-10-20,Morning,18,18,144.0,0.0,14.5,2088.0
LBR-800230,WH-DXB-01,2025-10-20,Evening,18,19,152.0,0.0,14.5,2204.0
LBR-800231,WH-DXB-01,2025-10-20,Night,18,18,144.0,2.0,14.5,2131.5
LBR-800232,WH-AUH-01,2025-10-20,Morning,8,7,56.0,1.5,14.5,844.62
LBR-800233,WH-AUH-01,2025-10-20,Evening,8,8,64.0,1.5,14.5,960.62
LBR-800234,WH-AUH-01,2025-10-20,Night,8,8,64.0,0.0,14.5,928.0
LBR-800235,WH-SHJ-01,2025-10-20,Morning,6,7,56.0,0.0,14.5,812.0
LBR-800236,WH-SHJ-01,2025-10-20,Evening,6,6,48.0,1.5,14.5,728.62
LBR-800237,WH-SHJ-01,2025-10-20,Night,6,6,48.0,0.0,14.5,696.0
LBR-800238,WH-DWC-01,2025-10-20,Morning,12,13,104.0,0.0,14.5,1508.0
LBR-800239,WH-DWC-01,2025-10-20,Evening,12,11,88.0,0.0,14.5,1276.0
LBR-800240,WH-DWC-01,2025-10-20,Night,12,11,88.0,2.0,14.5,1319.5
LBR-800241,WH-DXB-01,2025-10-21,Morning,18,19,152.0,0.0,14.5,2204.0
LBR-800242,WH-DXB-01,2025-10-21,Evening,18,19,152.0,1.5,14.5,2236.62
LBR-800243,WH-DXB-01,2025-10-21,Night,18,18,144.0,0.0,14.5,2088.0
LBR-800244,WH-AUH-01,2025-10-21,Morning,8,8,64.0,1.5,14.5,960.62
LBR-800245,WH-AUH-01,2025-10-21,Evening,8,9,72.0,2.0,14.5,1087.5
LBR-800246,WH-AUH-01,2025-10-21,Night,8,7,56.0,0.0,14.5,812.0
LBR-800247,WH-SHJ-01,2025-10-21,Morning,6,6,48.0,0.0,14.5,696.0
LBR-800248,WH-SHJ-01,2025-10-21,Evening,6,5,40.0,2.0,14.5,623.5
LBR-800249,WH-SHJ-01,2025-10-21,Night,6,6,48.0,2.0,14.5,739.5
LBR-800250,WH-DWC-01,2025-10-21,Morning,12,13,104.0,0.0,14.5,1508.0
LBR-800251,WH-DWC-01,2025-10-21,Evening,12,12,96.0,2.0,14.5,1435.5
LBR-800252,WH-DWC-01,2025-10-21,Night,12,12,96.0,1.5,14.5,1424.62
LBR-800253,WH-DXB-01,2025-10-22,Morning,18,17,136.0,0.0,14.5,1972.0
LBR-800254,WH-DXB-01,2025-10-22,Evening,18,17,136.0,1.5,14.5,2004.62
LBR-800255,WH-DXB-01,2025-10-22,Night,18,17,136.0,0.0,14.5,1972.0
LBR-800256,WH-AUH-01,2025-10-22,Morning,8,8,64.0,2.0,14.5,971.5
LBR-800257,WH-AUH-01,2025-10-22,Evening,8,8,64.0,2.0,14.5,971.5
LBR-800258,WH-AUH-01,2025-10-22,Night,8,7,56.0,0.0,14.5,812.0
LBR-800259,WH-SHJ-01,2025-10-22,Morning,6,6,48.0,1.5,14.5,728.62
LBR-800260,WH-SHJ-01,2025-10-22,Evening,6,5,40.0,0.0,14.5,580.0
LBR-800261,WH-SHJ-01,2025-10-22,Night,6,5,40.0,0.0,14.5,580.0
LBR-800262,WH-DWC-01,2025-10-22,Morning,12,11,88.0,2.0,14.5,1319.5
LBR-800263,WH-DWC-01,2025-10-22,Evening,12,12,96.0,1.5,14.5,1424.62
LBR-800264,WH-DWC-01,2025-10-22,Night,12,12,96.0,0.0,14.5,1392.0
LBR-800265,WH-DXB-01,2025-10-23,Morning,18,19,152.0,1.5,14.5,2236.62
LBR-800266,WH-DXB-01,2025-10-23,Evening,18,17,136.0,0.0,14.5,1972.0
LBR-800267,WH-DXB-01,2025-10-23,Night,18,17,136.0,2.0,14.5,2015.5
LBR-800268,WH-AUH-01,2025-10-23,Morning,8,9,72.0,0.0,14.5,1044.0
LBR-800269,WH-AUH-01,2025-10-23,Evening,8,9,72.0,0.0,14.5,1044.0
LBR-800270,WH-AUH-01,2025-10-23,Night,8,7,56.0,0.0,14.5,812.0
LBR-800271,WH-SHJ-01,2025-10-23,Morning,6,7,56.0,0.0,14.5,812.0
LBR-800272,WH-SHJ-01,2025-10-23,Evening,6,6,48.0,2.0,14.5,739.5
LBR-800273,WH-SHJ-01,2025-10-23,Night,6,7,56.0,1.5,14.5,844.62
LBR-800274,WH-DWC-01,2025-10-23,Morning,12,13,104.0,0.0,14.5,1508.0
LBR-800275,WH-DWC-01,2025-10-23,Evening,12,11,88.0,0.0,14.5,1276.0
LBR-800276,WH-DWC-01,2025-10-23,Night,12,13,104.0,0.0,14.5,1508.0
LBR-800277,WH-DXB-01,2025-10-24,Morning,10,10,80.0,0.0,14.5,1160.0
LBR-800278,WH-DXB-01,2025-10-24,Evening,10,11,88.0,0.0,14.5,1276.0
LBR-800279,WH-DXB-01,2025-10-24,Night,10,10,80.0,1.5,14.5,1192.62
LBR-800280,WH-AUH-01,2025-10-24,Morning,4,4,32.0,2.0,14.5,507.5
LBR-800281,WH-AUH-01,2025-10-24,Evening,4,4,32.0,0.0,14.5,464.0
LBR-800282,WH-AUH-01,2025-10-24,Night,4,5,40.0,1.5,14.5,612.62
LBR-800283,WH-SHJ-01,2025-10-24,Morning,3,2,16.0,2.0,14.5,275.5
LBR-800284,WH-SHJ-01,2025-10-24,Evening,3,3,24.0,1.5,14.5,380.62
LBR-800285,WH-SHJ-01,2025-10-24,Night,3,3,24.0,1.5,14.5,380.62
LBR-800286,WH-DWC-01,2025-10-24,Morning,7,8,64.0,0.0,14.5,928.0
LBR-800287,WH-DWC-01,2025-10-24,Evening,7,6,48.0,0.0,14.5,696.0
LBR-800288,WH-DWC-01,2025-10-24,Night,7,6,48.0,2.0,14.5,739.5
LBR-800289,WH-DXB-01,2025-10-25,Morning,10,9,72.0,0.0,14.5,1044.0
LBR-800290,WH-DXB-01,2025-10-25,Evening,10,10,80.0,0.0,14.5,1160.0
LBR-800291,WH-DXB-01,2025-10-25,Night,10,11,88.0,2.0,14.5,1319.5
LBR-800292,WH-AUH-01,2025-10-25,Morning,4,4,32.0,0.0,14.5,464.0
