inventory_id,sku_id,warehouse_id,quantity_on_hand,quantity_reserved,reorder_point,last_cycle_count_date,recorded_count,physical_count
INV-5100,SKU-1050,WH-AUH-01,1485,113,297,2026-01-15,1485,1485
INV-5101,SKU-1051,WH-DXB-01,1176,269,235,2026-01-15,1176,1176
INV-5102,SKU-1051,WH-AUH-01,1924,107,384,2026-01-15,1924,1924
INV-5103,SKU-1052,WH-DXB-01,2056,202,411,2026-01-15,2056,2056
INV-5104,SKU-1052,WH-AUH-01,1804,226,360,2026-01-15,1804,1804
INV-5105,SKU-1053,WH-DXB-01,863,140,172,2026-01-15,863,863
INV-5106,SKU-1053,WH-AUH-01,1446,133,289,2026-01-15,1446,1446
INV-5107,SKU-1054,WH-DXB-01,275,20,55,2026-01-15,275,275
INV-5108,SKU-1054,WH-AUH-01,2342,277,468,2026-01-15,2342,2342
INV-5109,SKU-1055,WH-DXB-01,2222,412,444,2026-01-15,2222,2222
INV-5110,SKU-1055,WH-AUH-01,216,38,43,2026-01-15,216,216
INV-5111,SKU-1056,WH-DXB-01,1319,88,263,2026-01-15,1319,1319
INV-5112,SKU-1056,WH-AUH-01,260,51,52,2026-01-15,260,260
INV-5113,SKU-1057,WH-DXB-01,772,153,154,2026-01-15,772,772
INV-5114,SKU-1057,WH-AUH-01,1691,388,338,2026-01-15,1691,1691
INV-5115,SKU-1058,WH-DXB-01,1911,188,382,2026-01-15,1911,1911
INV-5116,SKU-1058,WH-AUH-01,1026,119,205,2026-01-15,1026,1026
INV-5117,SKU-1059,WH-DXB-01,1462,75,292,2026-01-15,1462,1462
INV-5118,SKU-1059,WH-AUH-01,2474,199,494,2026-01-15,2474,2474
INV-5119,SKU-1060,WH-DXB-01,1676,247,335,2026-01-15,1676,1676
INV-5120,SKU-1060,WH-AUH-01,1780,108,356,2026-01-15,1780,1780
INV-5121,SKU-1061,WH-DXB-01,1310,86,262,2026-01-15,1310,1310
INV-5122,SKU-1061,WH-AUH-01,392,21,78,2026-01-15,392,392
INV-5123,SKU-1062,WH-DXB-01,378,93,75,2026-01-15,378,378
INV-5124,SKU-1062,WH-AUH-01,1396,320,279,2026-01-15,1396,1396
INV-5125,SKU-1063,WH-DXB-01,617,150,123,2026-01-15,617,617
INV-5126,SKU-1063,WH-AUH-01,153,7,30,2026-01-15,153,153
INV-5127,SKU-1064,WH-DXB-01,267,27,53,2026-01-15,267,267
INV-5128,SKU-1064,WH-AUH-01,2171,398,434,2026-01-15,2171,2171
INV-5129,SKU-1065,WH-DXB-01,1614,312,322,2026-01-15,1614,1614
INV-5130,SKU-1065,WH-AUH-01,1565,227,313,2026-01-15,1565,1565
INV-5131,SKU-1066,WH-DXB-01,2370,483,474,2026-01-15,2370,2370
INV-5132,SKU-1066,WH-AUH-01,1583,181,316,2026-01-15,1583,1583
INV-5133,SKU-1067,WH-DXB-01,1960,176,392,2026-01-15,1960,1960
INV-5134,SKU-1067,WH-AUH-01,681,67,136,2026-01-15,681,681
INV-5135,SKU-1068,WH-DXB-01,708,135,141,2026-01-15,708,708
INV-5136,SKU-1068,WH-AUH-01,803,86,160,2026-01-15,803,803
INV-5137,SKU-1069,WH-DXB-01,1978,299,395,2026-01-15,1978,1978
INV-5138,SKU-1069,WH-AUH-01,2176,367,435,2026-01-15,2176,2176
INV-5139,SKU-1070,WH-DXB-01,1051,123,210,2026-01-15,1051,1051
INV-5140,SKU-1070,WH-AUH-01,159,25,31,2026-01-15,159,159
INV-5141,SKU-1071,WH-DXB-01,1823,452,364,2026-01-15,1823,1823
INV-5142,SKU-1071,WH-AUH-01,2210,413,442,2026-01-15,2210,2210
INV-5143,SKU-1072,WH-DXB-01,1769,178,353,2026-01-15,1769,1769
INV-5144,SKU-1072,WH-AUH-01,1786,90,357,2026-01-15,1786,1786
INV-5145,SKU-1073,WH-DXB-01,2144,310,428,2026-01-15,2144,2144
INV-5146,SKU-1073,WH-AUH-01,2188,456,437,2026-01-15,2188,2188
INV-5147,SKU-1074,WH-DXB-01,1268,299,253,2026-01-15,1268,1268
INV-5148,SKU-1074,WH-AUH-01,385,50,77,2026-01-15,385,385
INV-5149,SKU-1075,WH-DXB-01,2058,403,411,2026-01-15,2058,2058
INV-5150,SKU-1075,WH-AUH-01,1310,119,262,2026-01-15,1310,1310
INV-5151,SKU-1076,WH-AUH-01,1720,404,344,2026-01-15,1720,1720
INV-5152,SKU-1076,WH-SHJ-01,2005,413,401,2026-01-15,2005,2005
INV-5153,SKU-1077,WH-AUH-01,1022,204,204,2026-01-15,1022,1022
INV-5154,SKU-1077,WH-SHJ-01,2001,165,400,2026-01-15,2001,2001
INV-5155,SKU-1078,WH-AUH-01,874,76,174,2026-01-15,874,874
INV-5156,SKU-1078,WH-SHJ-01,227,35,45,2026-01-15,227,227
INV-5157,SKU-1079,WH-AUH-01,281,31,56,2026-01-15,281,281
INV-5158,SKU-1079,WH-SHJ-01,1215,156,243,2026-01-15,1215,1215
INV-5159,SKU-1080,WH-AUH-01,2493,349,498,2026-01-15,2493,2493
INV-5160,SKU-1080,WH-SHJ-01,765,95,153,2026-01-15,765,765
INV-5161,SKU-1081,WH-AUH-01,2038,406,407,2026-01-15,2038,2038
INV-5162,SKU-1081,WH-SHJ-01,2340,387,468,2026-01-15,2340,2340
INV-5163,SKU-1082,WH-AUH-01,2342,538,468,2026-01-15,2342,2342
INV-5164,SKU-1082,WH-SHJ-01,652,101,130,2026-01-15,652,652
INV-5165,SKU-1083,WH-AUH-01,970,224,194,2026-01-15,970,970
INV-5166,SKU-1083,WH-SHJ-01,2120,288,424,2026-01-15,2120,2120
INV-5167,SKU-1084,WH-AUH-01,1352,158,270,2026-01-15,1352,1352
INV-5168,SKU-1084,WH-SHJ-01,1621,135,324,2026-01-15,1621,1621
INV-5169,SKU-1085,WH-AUH-01,1796,312,359,2026-01-15,1796,1796
INV-5170,SKU-1085,WH-SHJ-01,2185,433,437,2026-01-15,2185,2185
INV-5171,SKU-1086,WH-AUH-01,1072,222,214,2026-01-15,1072,1072
INV-5172,SKU-1086,WH-SHJ-01,1270,243,254,2026-01-15,1270,1270
INV-5173,SKU-1087,WH-AUH-01,1100,86,220,2026-01-15,1100,1100
INV-5174,SKU-1087,WH-SHJ-01,2393,392,478,2026-01-15,2393,2393
INV-5175,SKU-1088,WH-AUH-01,666,150,133,2026-01-15,666,666
INV-5176,SKU-1088,WH-SHJ-01,1291,276,258,2026-01-15,1291,1291
INV-5177,SKU-1089,WH-AUH-01,964,211,192,2026-01-15,964,964
INV-5178,SKU-1089,WH-SHJ-01,2413,412,482,2026-01-15,2413,2413
INV-5179,SKU-1090,WH-AUH-01,2212,463,442,2026-01-15,2212,2212
INV-5180,SKU-1090,WH-SHJ-01,2244,295,448,2026-01-15,2244,2244
INV-5181,SKU-1091,WH-AUH-01,279,14,55,2026-01-15,279,279
INV-5182,SKU-1091,WH-SHJ-01,2105,333,421,2026-01-15,2105,2105
INV-5183,SKU-1092,WH-AUH-01,1984,336,396,2026-01-15,1984,1984
INV-5184,SKU-1092,WH-SHJ-01,1833,158,366,2026-01-15,1833,1833
INV-5185,SKU-1093,WH-AUH-01,2015,238,403,2026-01-15,2015,2015
INV-5186,SKU-1093,WH-SHJ-01,861,115,172,2026-01-15,861,861
INV-5187,SKU-1094,WH-AUH-01,495,118,99,2026-01-15,495,495
INV-5188,SKU-1094,WH-SHJ-01,2415,403,483,2026-01-15,2415,2415
INV-5189,SKU-1095,WH-AUH-01,1134,114,226,2026-01-15,1134,1134
INV-5190,SKU-1095,WH-SHJ-01,1789,401,357,2026-01-15,1789,1789
INV-5191,SKU-1096,WH-AUH-01,505,118,101,2026-01-15,505,505
INV-5192,SKU-1096,WH-SHJ-01,2013,362,402,2026-01-15,2013,2013
INV-5193,SKU-1097,WH-AUH-01,753,94,150,2026-01-15,753,753
INV-5194,SKU-1097,WH-SHJ-01,2078,280,415,2026-01-15,2078,2078
INV-5195,SKU-1098,WH-AUH-01,1580,117,316,2026-01-15,1580,1580
INV-5196,SKU-1098,WH-SHJ-01,1786,441,357,2026-01-15,1786,1786
INV-5197,SKU-1099,WH-AUH-01,1795,156,359,2026-01-15,1795,1795
INV-5198,SKU-1099,WH-SHJ-01,2004,225,400,2026-01-15,2004,2004
INV-5199,SKU-1100,WH-AUH-01,1085,186,217,2026-01-15,1085,1085
INV-5200,SKU-1100,WH-SHJ-01,1482,173,296,2026-01-15,1482,1482
INV-5201,SKU-1101,WH-DWC-01,266,45,53,2026-01-15,266,218
INV-5202,SKU-1101,WH-DXB-01,724,96,144,2026-01-15,724,593
INV-5203,SKU-1102,WH-DWC-01,1775,415,355,2026-01-15,1775,1455
INV-5204,SKU-1102,WH-DXB-01,535,76,107,2026-01-15,535,438
INV-5205,SKU-1103,WH-DWC-01,624,123,124,2026-01-15,624,511
INV-5206,SKU-1103,WH-DXB-01,1088,61,217,2026-01-15,1088,892
INV-5207,SKU-1104,WH-DWC-01,912,71,182,2026-01-15,912,747
INV-5208,SKU-1104,WH-DXB-01,813,134,162,2026-01-15,813,666
INV-5209,SKU-1105,WH-DWC-01,1353,181,270,2026-01-15,1353,1109
INV-5210,SKU-1105,WH-DXB-01,2029,227,405,2026-01-15,2029,1663
INV-5211,SKU-1106,WH-DWC-01,434,72,86,2026-01-15,434,355
INV-5212,SKU-1106,WH-DXB-01,811,76,162,2026-01-15,811,665
INV-5213,SKU-1107,WH-DWC-01,1642,251,328,2026-01-15,1642,1346
INV-5214,SKU-1107,WH-DXB-01,998,241,199,2026-01-15,998,818
INV-5215,SKU-1108,WH-DWC-01,838,135,167,2026-01-15,838,687
INV-5216,SKU-1108,WH-DXB-01,491,32,98,2026-01-15,491,402
INV-5217,SKU-1109,WH-DWC-01,1874,162,374,2026-01-15,1874,1874
INV-5218,SKU-1109,WH-DXB-01,476,80,95,2026-01-15,476,476
INV-5219,SKU-1110,WH-DWC-01,1139,227,227,2026-01-15,1139,1139
INV-5220,SKU-1110,WH-DXB-01,1101,252,220,2026-01-15,1101,1101
INV-5221,SKU-1111,WH-DWC-01,2229,320,445,2026-01-15,2229,2229
INV-5222,SKU-1111,WH-DXB-01,578,72,115,2026-01-15,578,578
INV-5223,SKU-1112,WH-DWC-01,2215,241,443,2026-01-15,2215,2215
INV-5224,SKU-1112,WH-DXB-01,1544,217,308,2026-01-15,1544,1544
INV-5225,SKU-1113,WH-DWC-01,343,53,68,2026-01-15,343,343
INV-5226,SKU-1113,WH-DXB-01,1286,167,257,2026-01-15,1286,1286
INV-5227,SKU-1114,WH-DWC-01,1851,375,370,2026-01-15,1851,1851
INV-5228,SKU-1114,WH-DXB-01,2070,241,414,2026-01-15,2070,2070
INV-5229,SKU-1115,WH-DWC-01,204,48,40,2026-01-15,204,204
INV-5230,SKU-1115,WH-DXB-01,949,99,189,2026-01-15,949,949
INV-5231,SKU-1116,WH-DWC-01,2051,318,410,2026-01-15,2051,2051
INV-5232,SKU-1116,WH-DXB-01,2284,561,456,2026-01-15,2284,2284
INV-5233,SKU-1117,WH-DWC-01,1973,381,394,2026-01-15,1973,1973
INV-5234,SKU-1117,WH-DXB-01,982,157,196,2026-01-15,982,982
INV-5235,SKU-1118,WH-DWC-01,2008,193,401,2026-01-15,2008,2008
INV-5236,SKU-1118,WH-DXB-01,1940,104,388,2026-01-15,1940,1940
INV-5237,SKU-1119,WH-DWC-01,1437,100,287,2026-01-15,1437,1437
INV-5238,SKU-1119,WH-DXB-01,2293,568,458,2026-01-15,2293,2293
INV-5239,SKU-1120,WH-DWC-01,1461,323,292,2026-01-15,1461,1461
INV-5240,SKU-1120,WH-DXB-01,601,143,120,2026-01-15,601,601
INV-5241,SKU-1121,WH-DWC-01,331,30,66,2026-01-15,331,331
INV-5242,SKU-1121,WH-DXB-01,972,222,194,2026-01-15,972,972
INV-5243,SKU-1122,WH-DWC-01,2204,389,440,2026-01-15,2204,2204
INV-5244,SKU-1122,WH-DXB-01,2348,515,469,2026-01-15,2348,2348
INV-5245,SKU-1123,WH-DWC-01,1064,177,212,2026-01-15,1064,1064
INV-5246,SKU-1123,WH-DXB-01,231,52,46,2026-01-15,231,231
INV-5247,SKU-1124,WH-DWC-01,2089,244,417,2026-01-15,2089,2089
INV-5248,SKU-1124,WH-DXB-01,1559,191,311,2026-01-15,1559,1559
INV-5249,SKU-1125,WH-DWC-01,545,117,109,2026-01-15,545,545
INV-5250,SKU-1125,WH-DXB-01,954,125,190,2026-01-15,954,954
INV-5251,SKU-1126,WH-DWC-01,1907,233,381,2026-01-15,1907,1907
INV-5252,SKU-1126,WH-DXB-01,1226,133,245,2026-01-15,1226,1226
INV-5253,SKU-1127,WH-DWC-01,1673,409,334,2026-01-15,1673,1673
INV-5254,SKU-1127,WH-DXB-01,1537,119,307,2026-01-15,1537,1537
INV-5255,SKU-1128,WH-DWC-01,2256,516,451,2026-01-15,2256,2256
INV-5256,SKU-1128,WH-DXB-01,277,23,55,2026-01-15,277,277
INV-5257,SKU-1129,WH-DWC-01,670,106,134,2026-01-15,670,670
INV-5258,SKU-1129,WH-DXB-01,386,50,77,2026-01-15,386,386
INV-5259,SKU-1130,WH-DWC-01,1931,345,386,2026-01-15,1931,1931
INV-5260,SKU-1130,WH-DXB-01,2201,168,440,2026-01-15,2201,2201
INV-5261,SKU-1131,WH-DXB-01,2226,187,445,2026-01-15,2226,2226
INV-5262,SKU-1131,WH-AUH-01,954,51,190,2026-01-15,954,954
INV-5263,SKU-1132,WH-DXB-01,2325,171,465,2026-01-15,2325,2325
INV-5264,SKU-1132,WH-AUH-01,1529,228,305,2026-01-15,1529,1529
INV-5265,SKU-1133,WH-DXB-01,2231,358,446,2026-01-15,2231,2231
INV-5266,SKU-1133,WH-AUH-01,1551,300,310,2026-01-15,1551,1551
INV-5267,SKU-1134,WH-DXB-01,491,37,98,2026-01-15,491,491
INV-5268,SKU-1134,WH-AUH-01,795,156,159,2026-01-15,795,795
INV-5269,SKU-1135,WH-DXB-01,759,129,151,2026-01-15,759,759
INV-5270,SKU-1135,WH-AUH-01,2190,325,438,2026-01-15,2190,2190
INV-5271,SKU-1136,WH-DXB-01,1858,404,371,2026-01-15,1858,1858
INV-5272,SKU-1136,WH-AUH-01,851,130,170,2026-01-15,851,851
INV-5273,SKU-1137,WH-DXB-01,1749,211,349,2026-01-15,1749,1749
INV-5274,SKU-1137,WH-AUH-01,1995,394,399,2026-01-15,1995,1995
INV-5275,SKU-1138,WH-DXB-01,842,143,168,2026-01-15,842,842
INV-5276,SKU-1138,WH-AUH-01,943,60,188,2026-01-15,943,943
INV-5277,SKU-1139,WH-DXB-01,1469,201,293,2026-01-15,1469,1469
INV-5278,SKU-1139,WH-AUH-01,1286,249,257,2026-01-15,1286,1286
INV-5279,SKU-1140,WH-DXB-01,1400,335,280,2026-01-15,1400,1400
INV-5280,SKU-1140,WH-AUH-01,204,37,40,2026-01-15,204,204
INV-5281,SKU-1141,WH-DXB-01,907,69,181,2026-01-15,907,907
INV-5282,SKU-1141,WH-AUH-01,1462,152,292,2026-01-15,1462,1462
INV-5283,SKU-1142,WH-DXB-01,900,92,180,2026-01-15,900,900
INV-5284,SKU-1142,WH-AUH-01,1912,417,382,2026-01-15,1912,1912
INV-5285,SKU-1143,WH-DXB-01,514,41,102,2026-01-15,514,514
INV-5286,SKU-1143,WH-AUH-01,2398,489,479,2026-01-15,2398,2398
INV-5287,SKU-1144,WH-DXB-01,1674,198,334,2026-01-15,1674,1674
INV-5288,SKU-1144,WH-AUH-01,2493,487,498,2026-01-15,2493,2493
INV-5289,SKU-1145,WH-DXB-01,1390,265,278,2026-01-15,1390,1390
INV-5290,SKU-1145,WH-AUH-01,1789,245,357,2026-01-15,1789,1789
INV-5291,SKU-1146,WH-DXB-01,1212,79,242,2026-01-15,1212,1212
INV-5292,SKU-1146,WH-AUH-01,1402,70,280,2026-01-15,1402,1402
INV-5293,SKU-1147,WH-DXB-01,1608,167,321,2026-01-15,1608,1608
INV-5294,SKU-1147,WH-AUH-01,2472,279,494,2026-01-15,2472,2472
INV-5295,SKU-1148,WH-DXB-01,1190,285,238,2026-01-15,1190,1190
INV-5296,SKU-1148,WH-AUH-01,1670,145,334,2026-01-15,1670,1670
INV-5297,SKU-1149,WH-DXB-01,1491,360,298,2026-01-15,1491,1491
INV-5298,SKU-1149,WH-AUH-01,488,95,97,2026-01-15,488,488
INV-5299,SKU-1150,WH-DXB-01,1900,370,380,2026-01-15,1900,1900
INV-5300,SKU-1150,WH-AUH-01,859,211,171,2026-01-15,859,859
INV-5301,SKU-1151,WH-SHJ-01,1262,226,252,2026-01-15,1262,1262
INV-5302,SKU-1151,WH-DWC-01,638,152,127,2026-01-15,638,638
INV-5303,SKU-1152,WH-SHJ-01,196,11,39,2026-01-15,196,196
INV-5304,SKU-1152,WH-DWC-01,1189,279,237,2026-01-15,1189,1189
INV-5305,SKU-1153,WH-SHJ-01,1967,321,393,2026-01-15,1967,1967
INV-5306,SKU-1153,WH-DWC-01,399,44,79,2026-01-15,399,399
INV-5307,SKU-1154,WH-SHJ-01,484,91,96,2026-01-15,484,484
INV-5308,SKU-1154,WH-DWC-01,286,25,57,2026-01-15,286,286
INV-5309,SKU-1155,WH-SHJ-01,1671,224,334,2026-01-15,1671,1671
INV-5310,SKU-1155,WH-DWC-01,1650,238,330,2026-01-15,1650,1650
INV-5311,SKU-1156,WH-SHJ-01,1139,69,227,2026-01-15,1139,1139
INV-5312,SKU-1156,WH-DWC-01,551,85,110,2026-01-15,551,551
INV-5313,SKU-1157,WH-SHJ-01,764,43,152,2026-01-15,764,764
INV-5314,SKU-1157,WH-DWC-01,1332,163,266,2026-01-15,1332,1332
INV-5315,SKU-1158,WH-SHJ-01,2385,348,477,2026-01-15,2385,2385
INV-5316,SKU-1158,WH-DWC-01,280,52,56,2026-01-15,280,280
INV-5317,SKU-1159,WH-SHJ-01,332,43,66,2026-01-15,332,332
INV-5318,SKU-1159,WH-DWC-01,188,21,37,2026-01-15,188,188
INV-5319,SKU-1160,WH-SHJ-01,1522,277,304,2026-01-15,1522,1522
INV-5320,SKU-1160,WH-DWC-01,165,22,33,2026-01-15,165,165
INV-5321,SKU-1161,WH-SHJ-01,1281,123,256,2026-01-15,1281,1281
INV-5322,SKU-1161,WH-DWC-01,460,65,92,2026-01-15,460,460
INV-5323,SKU-1162,WH-SHJ-01,695,37,139,2026-01-15,695,695
INV-5324,SKU-1162,WH-DWC-01,908,79,181,2026-01-15,908,908
INV-5325,SKU-1163,WH-SHJ-01,1447,344,289,2026-01-15,1447,1447
INV-5326,SKU-1163,WH-DWC-01,2064,515,412,2026-01-15,2064,2064
INV-5327,SKU-1164,WH-SHJ-01,178,36,35,2026-01-15,178,178
INV-5328,SKU-1164,WH-DWC-01,626,36,125,2026-01-15,626,626
INV-5329,SKU-1165,WH-SHJ-01,897,157,179,2026-01-15,897,897
INV-5330,SKU-1165,WH-DWC-01,1921,474,384,2026-01-15,1921,1921
INV-5331,SKU-1166,WH-SHJ-01,415,28,83,2026-01-15,415,415
INV-5332,SKU-1166,WH-DWC-01,489,96,97,2026-01-15,489,489
INV-5333,SKU-1167,WH-SHJ-01,2200,315,440,2026-01-15,2200,2200
INV-5334,SKU-1167,WH-DWC-01,525,56,105,2026-01-15,525,525
INV-5335,SKU-1168,WH-SHJ-01,295,28,59,2026-01-15,295,295
INV-5336,SKU-1168,WH-DWC-01,581,31,116,2026-01-15,581,581
INV-5337,SKU-1169,WH-SHJ-01,2148,291,429,2026-01-15,2148,2148
